jornada,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
Q,201806,340,276,85,0.485021398,0.393723252,0.12125535,1733253,2110570,737069
22,201806,49,16,7,0.680555556,0.222222222,0.097222222,93640,49800,29128
23,201806,59,2,0,0.967213115,0.032786885,0,45064,2144,0
21,201807,325,298,82,0.460992908,0.422695035,0.116312057,1668515,2362094,727374
22,201807,50,13,10,0.684931507,0.178082192,0.136986301,96478,46123,40724
23,201807,59,2,0,0.967213115,0.032786885,0,31562,1953,0
21,201808,387,252,65,0.549715909,0.357954545,0.092329545,2139895,2057531,575752
22,201808,53,14,6,0.726027397,0.191780822,0.082191781,109969,58805,21779
23,201808,60,2,0,0.967741935,0.032258065,0,34160,1842,0
21,201809,429,224,51,0.609375,0.318181818,0.072443182,2238769,1684631,408274
22,201809,53,14,5,0.736111111,0.194444444,0.069444444,97753,48576,18443
23,201809,61,1,0,0.983870968,0.016129032,0,35841,1224,0
21,201810,438,218,48,0.622159091,0.309659091,0.068181818,2531511,1819510,428306
22,201810,58,13,4,0.773333333,0.173333333,0.053333333,113984,51718,14631
23,201810,59,1,0,0.983333333,0.016666667,0,31834,947,0
21,201811,407,236,61,0.578125,0.335227273,0.086647727,2053075,1784924,509968
22,201811,55,13,5,0.753424658,0.178082192,0.068493151,103082,47236,17250
23,201811,57,1,0,0.982758621,0.017241379,0,29585,799,0
21,201812,343,284,78,0.486524823,0.402836879,0.110638298,1683962,2271181,647912
22,201812,55,15,9,0.696202532,0.189873418,0.113924051,85251,53540,33452
23,201812,57,1,0,0.982758621,0.017241379,0,30251,710,0
21,201901,416,222,67,0.590070922,0.314893617,0.095035461,2289093,1798610,599212
22,201901,53,12,6,0.746478873,0.169014085,0.084507042,102281,48660,19114
23,201901,59,0,0,1,0,0,31955,0,0
21,201902,387,247,69,0.550497866,0.351351351,0.098150782,2026638,1921975,527204
22,201902,51,13,7,0.718309859,0.183098592,0.098591549,96492,47054,21910
23,201902,60,1,0,0.983606557,0.016393443,0,33813,859,0
21,201903,310,269,112,0.448625181,0.389290883,0.162083936,1667580,2194891,964959
22,201903,47,11,10,0.691176471,0.161764706,0.147058824,90164,43798,34817
23,201903,53,3,0,0.946428571,0.053571429,0,42148,2934,0
21,201904,330,265,100,0.474820144,0.381294964,0.143884892,1680967,2056073,921492
22,201904,46,11,11,0.676470588,0.161764706,0.161764706,88051,41918,39980
23,201904,57,2,0,0.966101695,0.033898305,0,25308,985,0
21,201905,427,225,44,0.613505747,0.323275862,0.063218391,2497836,1878844,384354
22,201905,48,15,7,0.685714286,0.214285714,0.1,103493,61894,23646
23,201905,59,1,0,0.983333333,0.016666667,0,35216,895,0
